Country;Year;Number_of_internet_users;Number_of_Depressions_per_100K;Population;Depressions_total
Germany;1990;99921;542,21405;79750000;432415
Germany;1991;199724;539,74960;80270000;433257
Germany;1992;349121;538,00280;80970000;435620
Germany;1993;373567;536,46010;81340000;436356
Germany;1994;746171;535,25400;81540000;436446
Germany;1995;1490833;534,55945;81820000;437376
Germany;1996;2483583;534,60990;82010000;438433
Germany;1997;5465248;536,39520;82060000;440165
Germany;1998;8052858;538,61194;82040000;441877
Germany;1999;17001352;541,25150;82160000;444692
Germany;2000;24641938;544,61237;82260000;447998
Germany;2001;25800127;553,72870;82440000;456493
Germany;2002;39760679;571,07367;82540000;471364
Germany;2003;45472867;590,79630;82530000;487584
Germany;2004;52603920;606,41925;82500000;500295
Germany;2005;55800880;613,40110;82440000;505687
Germany;2006;58577915;613,40436;82310000;504893
Germany;2007;61017771;613,26215;82220000;504224
Germany;2008;63349641;613,50586;82000000;503074
Germany;2009;64195893;612,89014;81800000;501344
Germany;2010;66686572;612,06036;81750000;500359
Germany;2011;66172781;611,76690;80330000;491432
Germany;2012;67152774;611,59620;80520000;492457
Germany;2013;68750553;610,94100;80770000;493457
Germany;2014;70554122;610,70966;81220000;496018
Germany;2015;71887778;611,25860;82180000;502332
Germany;2016;69294420;608,08440;82520000;501791
Germany;2017;69730139;601,88830;82790000;498303
Germany;2018;72150888;594,14240;83020000;493257
Germany;2019;73282212;583,56970;83170000;485354
